CountryCode,u1,u2,u3,u4,u5,u6,u7,u8
AUT,0.3918857878934245,0.26681515114497084,-0.01276129359226781,-0.20963012051776772,0.31323463927296763,-0.7499643978002751,-0.32786654584931124,-1.2829363198898018
BEL,0.7112828532555083,0.1895954931179859,0.06507935217185497,0.43547158177225914,-0.20195502715359978,-0.4691465998378742,-0.10875622986684623,-0.3372698824509284
HRV,0.016593203986596996,-0.6425480092656092,0.10400166989818097,-0.3108996064347161,-0.7046389141006018,-0.5718408202784825,0.2737851689497641,-0.9453525779847095
CYP,-1.4324180945170366,0.6735381343283144,0.13411841816641312,-0.9600275348987471,0.5315697506996395,-0.25395654595145833,0.16179149189699146,-0.2484314410610468
CZE,-0.3221362966245945,0.18733415955653593,-0.05008419898696816,0.7441439023456338,0.35373269924590467,0.11687637473512331,0.04091955401570841,0.1502763210885696
DNK,0.2268174787089989,-0.3177934696676304,-0.24252055556438284,0.027698655945352264,1.037651366184531,0.329277531584938,0.6654144573619916,0.26731090098564536
EST,-1.468876554156365,-0.04287818514576511,-0.22335077781470583,0.17530227388490852,-1.4554019445415791,0.08693997854838631,-1.9325633402099387,-0.1432914719965374
FIN,0.7371525504623369,0.822632894103312,-0.12774337934356125,-0.2217758074669365,0.5059436437137033,0.5544804073797321,0.07601875495784263,0.6407363036678537
FRA,1.1438538429897214,0.4658300300385525,0.12099446448454208,0.5556341043029068,-0.3484439231692936,0.07584551170457267,0.15888433461723023,-0.00374510101254792
DEU,-0.2573973872743347,-0.23116662845976205,-0.02421601968051271,0.6746099643593474,0.4595926099869626,-0.7836075150972391,-0.5265440254334338,0.2643083532612598
GRC,-1.4836805265183806,-0.4249139058702103,0.03772386368085101,-0.33753537079042223,-0.5274385855960644,0.10814887324684144,1.5766138179381164,0.5671402622553903
HUN,0.46166318458633704,0.20633006146376237,0.03725164196107974,0.5711224335649729,0.3439283745412786,-0.23875378312141843,-0.15087286315966034,0.45986945179390865
ITA,0.2550851720089851,-0.497509151746305,0.029337703164939367,0.6708915026318648,0.18931791798130787,-0.24220026639694367,0.12531307696480543,-0.21698567183815012
LVA,0.9692946557952905,-0.39910663368806154,0.05773236435668065,-0.791950513281401,-0.4647763745174202,-0.002666285254145538,-0.5178870754870266,1.7186591924438213
LTU,0.635941203969561,0.3717585935265978,-0.05012813099317329,-0.502943417975365,-0.7972042930297176,0.6882282339465385,0.36428322153028625,-0.46866925079533733
LUX,0.8091761229057207,-0.6019356279608263,0.14194509841168765,-0.39954131627560574,0.8943711184922489,1.173681473768983,-2.069065055879106,-0.5166666479752944
MLT,-3.023370701593972,0.6761020480533981,0.08522598111432003,0.2574365882620024,0.39624795019337206,0.22954105664289268,-0.4188413595707001,0.17204550977310717
NLD,0.4130807153784807,-0.15364512747846987,-0.06907326839922488,0.687068633711513,0.20742538228080887,-0.22872364217943156,0.15426013573711495,-0.16583381780486817
POL,-0.798656579013976,-0.6966715178010102,0.047372342346505086,0.49113209062320856,-0.5327631284912208,0.7513258291741195,0.47124404975052087,0.07677262542735468
PRT,-0.06018639877772001,-0.45649298752278317,-0.10996892062941827,-1.0385147308310405,0.1530084962048034,-0.5014549776787944,0.07702431715321813,-0.35305016500237113
SVK,0.7616239078864696,0.20323009364855216,0.038932556089204734,0.3956106166365842,-0.7540999112419056,0.7766791245290776,1.0495025335884534,-0.5247508943277966
SVN,0.16165259860319614,-0.22662301864996973,0.1238475864541144,0.05248568803590467,0.07383738837528797,-0.5373388256558312,-0.18430322035116772,1.1542395869500326
ESP,0.18998095869457315,0.3126227433102284,0.028283460238411776,-0.19298749082334085,0.4147901881689934,0.4065110850859821,0.5965437480031597,-0.39369137735781107
SWE,1.1356897400384076,0.7990286295516769,-0.04623968945835472,-0.3919127045215126,-0.6969303450854478,-0.5604639478116514,-0.266992936736154,0.34634510348325204
GBR,-0.17405143868722905,-0.48353376858748437,-0.09576026807621676,-0.38088942225960426,0.609000921585043,-0.1574178732836399,0.7120939900781432,-0.21702899163299932
