,Librarie,CostLunarBasic,CostLunarStandard,CostLunarPremium,Internet,HDI,Venit,IndiceFericire,IndiceEducatie
Librarie,1.0,-0.04929948718433848,0.010390754592441582,-0.017830962278597852,0.2404785564498482,-0.08053964607212975,0.006815167334533533,0.006920856519835446,0.27238618859202735
CostLunarBasic,-0.04929948718433848,1.0,0.8665587970497671,0.7795579707762413,0.3247829026112628,0.4584530923534437,0.6175792025777357,0.7220404902802082,0.5395545892737641
CostLunarStandard,0.010390754592441582,0.8665587970497671,1.0,0.9767149218574266,0.4308510017199568,0.6200394131133367,0.790021890480056,0.7283467286848193,0.5787899741485781
CostLunarPremium,-0.017830962278597852,0.7795579707762413,0.9767149218574266,1.0,0.4905016509729,0.6992083459072355,0.8319336791919651,0.7386695869232237,0.6084932956258681
Internet,0.2404785564498482,0.3247829026112628,0.4308510017199568,0.4905016509729,1.0,0.7569228098826054,0.6950775992545335,0.6694443861096804,0.7611369220168349
HDI,-0.08053964607212975,0.4584530923534437,0.6200394131133367,0.6992083459072355,0.7569228098826054,1.0,0.8023646603261182,0.808103330971194,0.7392713566708404
Venit,0.006815167334533533,0.6175792025777357,0.790021890480056,0.8319336791919651,0.6950775992545335,0.8023646603261182,1.0,0.7778049689431039,0.6999765568882853
IndiceFericire,0.006920856519835446,0.7220404902802082,0.7283467286848193,0.7386695869232237,0.6694443861096804,0.808103330971194,0.7778049689431039,1.0,0.7892317882406148
IndiceEducatie,0.27238618859202735,0.5395545892737641,0.5787899741485781,0.6084932956258681,0.7611369220168349,0.7392713566708404,0.6999765568882853,0.7892317882406148,1.0
