Variabila,Comunalitate,Varianta_Specifica
Librarie,0.04694277260114487,0.9530572273988551
CostLunarBasic,0.9809130207239706,0.019086979276029425
CostLunarStandard,0.9939787306260307,0.006021269373969296
CostLunarPremium,0.9875920586477384,0.012407941352261642
Internet,0.7713179786047426,0.2286820213952574
HDI,0.9363239900298614,0.06367600997013856
Venit,0.7458980057208644,0.2541019942791356
IndiceFericire,0.7055341987646628,0.29446580123533717
IndiceEducatie,0.8580877454145438,0.1419122545854562
