Three_Letter_Country_Code,Country_Name,RS
MYS,Malaysia,1.412
MAR,"Morocco, Kingdom of",1.386
PRY,"Paraguay, Republic of",1.363
NIC,"Nicaragua, Republic of",1.326
IDN,"Indonesia, Republic of",1.324
MEX,"Mexico, United Mexican States",1.317
BRN,Brunei Darussalam,1.308
BWA,"Botswana, Republic of",1.301
AZE,"Azerbaijan, Republic of",1.266
CPV,"Cape Verde, Republic of",1.262
NOR,"Norway, Kingdom of",1.246
IRN,"Iran, Islamic Republic of",1.243
CHE,"Switzerland, Swiss Confederation",1.213
BTN,"Bhutan, Kingdom of",1.2
IND,"India, Republic of",1.193
DOM,Dominican Republic,1.175
CRI,"Costa Rica, Republic of",1.148
BGD,"Bangladesh, People's Republic of",1.143
FSM,"Micronesia, Federated States of",1.13
VEN,"Venezuela, Bolivarian Republic of",1.123
SUR,"Suriname, Republic of",1.103
NZL,New Zealand,1.089
CAN,Canada,1.071
ERI,"Eritrea, State of",1.059
BHS,"Bahamas, Commonwealth of the",1.057
VNM,"Vietnam, Socialist Republic of",1.043
ARG,"Argentina, Argentine Republic",1.039
CHL,"Chile, Republic of",1.036
TUN,"Tunisia, Tunisian Republic",0.999
COL,"Colombia, Republic of",0.991
PER,"Peru, Republic of",0.97
MLT,"Malta, Republic of",0.911
BRA,"Brazil, Federative Republic of",0.876
CYP,"Cyprus, Republic of",0.851
MMR,"Myanmar, Union of",0.806
WSM,"Samoa, Independent State of",0.798
SWE,"Sweden, Kingdom of",0.783
USA,United States of America,0.754
GBR,United Kingdom of Great Britain & Northern Ireland,0.743
SWZ,"Swaziland, Kingdom of",0.723
LBY,Libyan Arab Jamahiriya,0.7
AUT,"Austria, Republic of",0.629
BEL,"Belgium, Kingdom of",0.628
LKA,"Sri Lanka, Democratic Socialist Republic of",0.628
LSO,"Lesotho, Kingdom of",0.626
TTO,"Trinidad and Tobago, Republic of",0.625
GRD,Grenada,0.625
ISL,"Iceland, Republic of",0.609
LCA,Saint Lucia,0.571
JAM,Jamaica,0.565
CHN,"China, People's Republic of",0.548
PRK,"Korea, Democratic People's Republic of",0.511
KOR,"Korea, Republic of",0.509
FRA,"France, French Republic",0.494
CAF,Central African Republic,0.479
DNK,"Denmark, Kingdom of",0.476
GUY,"Guyana, Co-operative Republic of",0.475
SLV,"El Salvador, Republic of",0.452
THA,"Thailand, Kingdom of",0.447
IRL,Ireland,0.426
FIN,"Finland, Republic of",0.425
ITA,"Italy, Italian Republic",0.418
ARM,"Armenia, Republic of",0.333
URY,"Uruguay, Eastern Republic of",0.312
NLD,"Netherlands, Kingdom of the",0.304
SVN,"Slovenia, Republic of",0.271
DEU,"Germany, Federal Republic of",0.236
BRB,Barbados,0.225
RUS,Russian Federation,0.209
FJI,"Fiji, Republic of the Fiji Islands",0.204
MUS,"Mauritius, Republic of",0.184
CUB,"Cuba, Republic of",0.176
VCT,Saint Vincent and the Grenadines,0.162
CZE,Czech Republic,0.123
SVK,Slovakia (Slovak Republic),0.116
MNE,"Montenegro, Republic of",0.086
MKD,"Macedonia, The Former Yugoslav Republic of",0.083
BLR,"Belarus, Republic of",0.04
NPL,"Nepal, State of",0.001
MDA,"Moldova, Republic of",-0.075
JPN,Japan,-0.087
ESP,"Spain, Kingdom of",-0.111
POL,"Poland, Republic of",-0.155
EST,"Estonia, Republic of",-0.253
SRB,"Serbia, Republic of",-0.256
HUN,"Hungary, Republic of",-0.303
GEO,Georgia,-0.369
UKR,Ukraine,-0.384
ALB,"Albania, Republic of",-0.394
GRC,"Greece, Hellenic Republic",-0.423
PRT,"Portugal, Portuguese Republic",-0.434
HRV,"Croatia, Republic of",-0.445
ROU,Romania,-0.541
BGR,"Bulgaria, Republic of",-0.616
TON,"Tonga, Kingdom of",-0.625
PRI,"Puerto Rico, Commonwealth of",-1.14
LVA,"Latvia, Republic of",-1.178
LTU,"Lithuania, Republic of",-1.268
BIH,Bosnia and Herzegovina,-1.549
SYR,Syrian Arab Republic,-3.428
